name;description;price;url;shop;style
Paco-Home tapis, Tapis à poils ras doux pour salon, moelleux, lavable, Gris foncé;Ce tapis Paco-Home à poils ras doux est parfait pour le salon. Il est moelleux, lavable, et d'une teinte gris foncé élégante qui s'intègre dans divers styles de décoration.;29,99 €;https://www.amazon.fr/Paco-Home-Moelleux-Lavable-Dimension/dp/B0891X46BY;Amazon.fr - Seller;contemporain
Tapis pour le Salon ou la chambre en Rose 80x150 cm | rectangulaire | lavable;Tapis rectangulaire en rose pastel pour le salon ou la chambre, de dimensions 80x150 cm. Lavable, il ajoute une touche de douceur et de style à votre intérieur.;24,99 €;https://www.cdiscount.com/auto/tapis-voiture/tapis-pour-le-salon-ou-la-chambre-en-rose-80x150-c/f-13382-the1696486048176.html;Cdiscount Marketplace;contemporain
JaeMoose Tapis en Coton touffeté - Lavable - Rétro - Tapis de Couloir - avec...;Tapis en coton touffeté au style rétro, idéal pour un couloir. Lavable et résistant, il combine praticité et charme.;31,99 €;https://www.amazon.fr/JaeMoose-Tapis-Coton-touffet%C3%A9-Marocain/dp/B0BFFTHQDG;Amazon.fr - Seller;boheme
Tapis Jasper Crème 80x150 cm;Le tapis Jasper crème de dimensions 80x150 cm présente un design épuré et moderne, idéal pour apporter une touche de raffinement à votre intérieur.;117,95 €;https://www.benuta.fr/tapis-jasper-creme-60007418-62101.html;benuta.fr;modern
benuta - Tapis à poils longs Vert clair 80x150 cm;Tapis à poils longs en vert clair, mesurant 80x150 cm. Son design élégant et doux en fait un choix idéal pour une chambre ou un salon.;53,99 €;https://www.laredoute.fr/ppdp/prod-601164955.aspx;La Redoute;modern
Marke Paco Home Tapis de Salon 3D Scandinave rayures franges;Tapis de salon Paco Home avec design scandinave 3D, motifs à rayures et franges élégantes. Parfait pour un intérieur contemporain.;49,99 €;https://www.manomano.fr/tapis-355?model_id=68335867;ManoMano.fr;modern
The Carpet The Carpet Relax Tapis de salon, de chambre, lavable, antidérapant;Tapis relax antidérapant, adapté pour le salon ou la chambre. Lavable, il combine fonctionnalité et style moderne.;35,99 €;https://www.showroomprive.com/market/catalog/productp.aspx?produit=M-6886424;showroomprive.com;modern
Grand tapis moderne à poils longs, antidérapant, doux au toucher, en fausse...;Ce grand tapis moderne à poils longs est antidérapant et doux au toucher. Idéal pour une ambiance chaleureuse et confortable.;41,00 €;https://www.amazon.fr/toucher-fourrure-moderne-antid%C3%A9rapant-chambre/dp/B09GML3MTG;Amazon.fr - Seller;modern
Paco Home - Tapis de Salon poils ras lavable Monochrome Style moderne Argent 80;Tapis de salon à poils ras, lavable et argenté, au style moderne et minimaliste. Idéal pour un salon chic.;32,99 €;https://www.tapis24.fr/tapis/quel-tapis-pour-mes-differentes-pieces/salon/1912;Tapis24;modern
Tapis de Salon Creme 120x170 effet 3D Tapis poil ras moderne et doux Design...;Tapis de salon crème 120x170 cm avec effet 3D, poils ras et design moderne. Doux au toucher, il apporte élégance et confort.;49,99 €;https://www.cdiscount.com/maison/tapis/tapis-de-salon-ou-chambre-en-creme-120x170-avec/f-11725-aaaah83553.html;Cdiscount Marketplace;scandinave
